"100年02月09日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3049  ","精金            ","133,000","8,313,000","-8,180,000",
" ","2301  ","光寶科          ","2,545,776","9,048,009","-6,502,233",
"*","3037  ","欣興            ","13,496,000","19,950,825","-6,454,825",
" ","1101  ","台泥            ","7,631,000","13,761,786","-6,130,786",
" ","2454  ","聯發科          ","4,574,735","10,612,547","-6,037,812",
" ","2308  ","台達電          ","6,915,471","12,452,245","-5,536,774",
"*","3231  ","緯創            ","3,232,662","8,643,522","-5,410,860",
" ","2892  ","第一金          ","11,388,000","16,570,840","-5,182,840",
" ","2384  ","勝華            ","3,386,000","7,496,600","-4,110,600",
" ","3481  ","群創            ","3,099,523","7,182,176","-4,082,653",
" ","6116  ","彩晶            ","2,247,000","6,072,930","-3,825,930",
" ","2891  ","中信金          ","31,932,000","35,712,296","-3,780,296",
" ","1802  ","台玻            ","923,000","4,156,240","-3,233,240",
" ","5522  ","遠雄            ","2,604,000","5,644,879","-3,040,879",
" ","3474  ","華亞科          ","4,915,399","7,858,793","-2,943,394",
" ","2412  ","中華電          ","6,545,000","9,256,317","-2,711,317",
" ","2475  ","華映            ","1,275,318","3,764,030","-2,488,712",
" ","2354  ","鴻準            ","1,170,326","3,597,417","-2,427,091",
" ","2374  ","佳能            ","515,000","2,668,000","-2,153,000",
" ","1216  ","統一            ","2,488,000","4,591,270","-2,103,270",
"*","6176  ","瑞儀            ","1,079,000","3,105,000","-2,026,000",
"*","2357  ","華碩            ","1,010,606","3,009,084","-1,998,478",
" ","2501  ","國建            ","1,441,000","3,301,000","-1,860,000",
" ","2618  ","長榮航          ","4,782,000","6,520,250","-1,738,250",
" ","2347  ","聯強            ","4,182,605","5,869,427","-1,686,822",
" ","1314  ","中石化          ","6,756,000","8,442,723","-1,686,723",
" ","910322","康師傅-DR       ","166,000","1,803,000","-1,637,000",
" ","2609  ","陽明            ","2,116,000","3,709,790","-1,593,790",
" ","2610  ","華航            ","3,426,000","4,863,801","-1,437,801",
" ","2884  ","玉山金          ","1,397,000","2,788,780","-1,391,780",
" ","2317  ","鴻海            ","29,819,119","31,142,318","-1,323,199",
"*","2332  ","友訊            ","2,569,000","3,763,000","-1,194,000",
" ","2385  ","群光            ","354,000","1,543,856","-1,189,856",
" ","3514  ","昱晶            ","168,000","1,290,307","-1,122,307",
" ","4938  ","和碩            ","4,112,303","5,233,240","-1,120,937",
" ","1319  ","東陽            ","100,000","1,218,000","-1,118,000",
" ","2915  ","潤泰全          ","283,000","1,283,260","-1,000,260",
" ","1409  ","新纖            ","273,000","1,228,702","-955,702",
" ","2327  ","國巨            ","963,000","1,901,000","-938,000",
" ","2605  ","新興            ","563,000","1,476,000","-913,000",
" ","3019  ","亞光            ","228,000","1,134,000","-906,000",
" ","2547  ","日勝生          ","371,000","1,215,310","-844,310",
" ","2474  ","可成            ","755,000","1,533,150","-778,150",
" ","6213  ","聯茂            ","105,000","837,000","-732,000",
" ","2823  ","中壽            ","1,247,186","1,941,740","-694,554",
" ","2315  ","神達            ","489,000","1,165,250","-676,250",
" ","2812  ","台中銀          ","319,000","964,749","-645,749",
" ","3584  ","介面            ","15,000","652,000","-637,000",
" ","3576  ","聯合再生        ","72,000","697,000","-625,000",
" ","3043  ","科風            ","41,000","663,000","-622,000",
" ","3519  ","綠能            ","123,000","732,000","-609,000",
" ","2379  ","瑞昱            ","364,000","962,750","-598,750",
" ","1305  ","華夏            ","727,000","1,301,000","-574,000",
" ","2356  ","英業達          ","991,000","1,562,821","-571,821",
" ","2854  ","寶來證          ","5,242,000","5,811,030","-569,030",
" ","2455  ","全新            ","47,000","569,000","-522,000",
" ","2204  ","中華            ","372,000","874,860","-502,860",
" ","2369  ","菱生            ","41,000","525,000","-484,000",
" ","2524  ","京城            ","61,000","540,000","-479,000",
" ","3042  ","晶技            ","81,000","555,474","-474,474",
" ","2105  ","正新            ","940,000","1,406,970","-466,970",
" ","2601  ","益航            ","127,000","587,000","-460,000",
